"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Djibouti","DJI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","6","","","42","152","1092","2451","5285","8058","11302","14907","17705","20102","24165","24275","24389","25508","24416","25053","15598","16061","16972","",
"Dominica","DMA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","175","2238","2651","3253","3400","4300","5000","7000","7300","8311","8307","8500","10667","10785","15159","15487","15423","11514","15205","18286","14083","13940","","",
"Denmark","DNK","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67000","238000","451297","718299","1017590","1343860","1735320","1903540","2005680","2022710","2112410","2143250","2179550","2272400","2341760","2404960","2461400","2511870","2535900","2536510","2590280","2633200","2649600","2619230","",
"Dominican Republic","DOM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15000","37257","60674","102880","173752","239118","315593","390505","423919","483625","526705","599996","686107","761255","820578","860626","929883","1031860","1147890","1198820","1261690","",
"Algeria","DZA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18000","36000","135000","170000","287039","485000","818000","900000","980752","1154750","1280000","1599690","2269350","2859570","3210270","3067020","3582740","3790460","4177040","4707690","5543720","",
"East Asia & Pacific (excluding high income)","EAP","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26660","366942","3378319","11467799","25585922","38841935","53495368","71349499","90438964","115076354","137813799","171435448","192704937","208230934","221605798","301262306","350329750","426573136","445595846","494878357","535000000","595000000","652000000","698000000","735000000",
"Early-demographic dividend","EAR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","340814","1030975","2238814","4409981","8782017","14287438","22273662","31973945","42026576","49053814","59492712","69299247","74247258","81911252","98206435","110489115","118977804","130214901","139478095","163500628","185919719","197097026","","",
"East Asia & Pacific","EAS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5502154","14174055","26912269","42925828","64143608","83423794","105572186","126899476","150486995","179028520","204757978","241184447","264487108","282207313","296268458","378200000","429800000","507900000","528700000","580200000","623000000","686000000","745000000","794000000","833000000",
"Europe & Central Asia (excluding high income)","ECA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1819411","3598236","6676694","9492529","11882937","15438540","17860550","20521795","23332741","24324219","27752125","30300016","33062975","35899610","38050221","44000000","48000000","51000000","55000000","58000000",
"Europe & Central Asia","ECS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13727835","24979185.33","43256734","66095091","91501481","116707962","136931466","153568081","168621886","181138326","192487473","204571387","212703007","224300000","233500000","246200000","255000000","262600000","275000000","286000000","293000000","303000000","311000000",
"Ecuador","ECU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2623","6499","6916","11620","26786","46000","100000","155998","241233","221320","658923","843704","1058450","1319630","1487590","1609590","1778610","1953610","2092460","2371300","2480570","2693710","2889020","",
"Egypt, Arab Rep.","EGY","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50937","54850","79217","140999","258526","477432","769744","1077490","1451630","1845250","2288770","2676260","3067880","3826410","4469160","5233870","6624420","7573150","9335110","10835900","12031300","12443700","",
"Euro area","EMU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1309768","5079735","10106274","17597241","29852936","43343854","57679464","71209387","80364054","88022316","94096733","98601127","102135297","105916629","110172936","114419012","118710944","123156916","126665017","129827746","133712574","137133402","140546555","","",
"Eritrea","ERI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","70","118","141","185","146","200","500","600","1000","","3000","5000","5000","5639","","",
"Spain","ESP","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76358","466600","1247500","2121930","3401410","5035200","6739110","8055780","9135960","9800600","10652400","11167800","11524500","12252100","13005000","13542900","14112700","14668200","15177000","15616600","16188500","16674200","17115200","17830200","",
"Estonia","EST","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17474","46500","90300","138677","179200","246800","264949","294660","313625","347883","348946","349507","360948","371009","390275","414478","428453","441173","449140","455678","497504","536282","481991","",
"Ethiopia","ETH","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","35","61","261","1036","1496","3498","4107","6353","8535","238067","471285","478000","559000","62950","","159000","212000","487800","566206","","",
"European Union","EUU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1631668","5960319","11661813","20101399","33914418","50058179","68601295","85599736","96626366","106409586","113613097","120106101","124201793","129032849","134102590","139127853","144211616","149810842","154290371","158462238","163762167","168367743","172887839","","",
"Fragile and conflict affected situations","FCS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512129","","1920572","3075205","3859754","5424400","6020521","7086364","8142418","9475717","10000000","11100000","15800000","16200000","18700000","22000000","23000000","23000000","26000000","28000000",
"Finland","FIN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35000","134000","273500","491100","800000","1174200","1429000","1617000","1618000","1565600","1559400","1606000","1647600","1720200","1758500","1729900","1712000","1710000","1737000","1797000","1846000","1864000","1910000","1979000","",
"Fiji","FJI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7000","8500","11500","13031","12830","23250","23250","13516","10927","12427","12734","12332","12135","19097","21454","23062","23062","23296","","",
"France","FRA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13500","55000","196601","601500","1655000","3569380","6561040","9471000","12711000","15750000","17830000","19852000","21337000","22749000","23980000","24940000","25969000","26867000","27680000","28480000","29100000","29760000","30627000","31485000","31979000","32335000","",
"Faroe Islands","FRO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","114","394","3134","5868","13128","14463","14878","15882","16179","16057","16324","16700","17363","17792","17973","18041","18181","18180","18443","18443","18681","","",
"Micronesia, Fed. Sts.","FSM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","26","46","95","116","","","998","","","2063","3092","3277","3169","3776","","5000","6000","6000","6523","","",
"Gabon","GAB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170","650","1530","1763","1983","2200","3697","4082","4500","5000","8900","10800","11082","15018","14747","21086","24377","44607","63017","80348","98719","",
"United Kingdom","GBR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52890","330960","1356480","3113700","6123910","9898650","13013000","15606000","17310000","17877200","19151500","20588900","21685700","23039800","23729800","24663100","25473600","26043400","26587100","26859700","27329700","27821000","28149000","28460000","",
"Georgia","GEO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430","920","1410","1900","2390","27000","46735","112131","150000","182432","248504","463052","516931","600826","635644","681038","776187","857306","937054","968355","1009490","1075200","1115920","",
"Ghana","GHA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","1904","12749","16197","22980","28401","52085","65149","68132","68795","70170","73132","86596","56810","61268","58518","78371","114543","207164","187684","",
"Gibraltar","GIB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9297","10433","11284","11979","","13000","15577","16404","17373","18979","19497","21009","22062","22932","","",
"Guinea","GIN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","600","700","800","900","1000","1100","1127","1213","1250","1000","1000","882","","",
